osm_id,osm_type,name,lat,lon,name_en,alt_name,website,phone,email,opening_hours,addr_city,addr_country,addr_street,addr_postcode,wikipedia,wikidata,fee,access,operator,description,leisure,garden_type
129965574,node,Botanischer Garten,51.2022099,6.4322788,,,,,,,,,,,,,,,,,garden,botanical
282669367,node,Jardin Limodore,45.3692067,0.4614687,,,,,,,,,,,,,,,,,garden,botanical
345456240,node,Karoo Botanical Gardens,-33.616727,19.4503686,,,,,,,,,,,,,,,,,nature_reserve,botanical
354390569,node,Dubuque Arboretum and Botanical Gardens,42.5328702,-90.7165218,,,https://dubuquearboretum.net/,,,,,,,,en:Dubuque Arboretum and Botanical Gardens,Q5311168,,,,,garden,botanical
367449694,node,Estate Saint Peter Botanical Garden,18.3543583,-64.9391067,,,,,,,,,,,,,,,,,garden,botanical
368866375,node,수목원,37.609503,126.671161,Arboretum,,,,,,,,,,,,,,,,garden,botanical
368869137,node,화니식물원,35.171257,126.911214,Hwani Florist,,,,,,,,,,,,,,,,garden,botanical
368869145,node,무등식물원,35.1557282,126.8174707,Mudeung Florist,,,,,,,,,,,,,,,,garden,botanical
368869873,node,광명식물원,35.1564002,126.8169359,Gwangmyeong Florist,,,,,,,,,,,,,,,,garden,botanical
368869905,node,전일식물원,35.181595,126.91201,Jeonil Florist,,,,,,,,,,,,,,,,garden,botanical
368870504,node,가나식물원,35.1555984,126.8168262,Gana Florist,,,,,,,,,,,,,,,,garden,botanical
376693486,node,Dufthagen,59.9176567,10.7727186,The Aromatic Garden,,https://www.nhm.uio.no/utstillinger/botanisk-hage/avdelinger/dufthagen/,,,,,,,,,,no,,,,garden,botanical
439149520,node,Andromeda Botanic Gardens,13.2078885,-59.517838,,,,,,Tu-Su 10:00-16:00,,,,,en:Andromeda Botanic Gardens,Q2169130,,,,,garden,botanical
499122857,node,Botanischer Blindengarten,51.1054395,13.9226175,,,,,,"May 01-Oct 31: We,Sa 13:00-18:00; PH We,Sa 13:00-18:00",Radeberg,DE,Pillnitzer Straße,01454,de:Botanischer Blindengarten Radeberg,Q15107882,,,Taubblindendienst der Evangelischen Kirche in Deutschland,Botanischer Garten der für taubblinde und blinde Menschen gestaltet ist,garden,botanical
585172454,node,Jardin Botanico de Guayaquil,-2.0799968,-79.9093556,,,,,,,,,,,,,,,Municipio de Guayaquil,,garden,botanical
806229834,node,满洲里西山植物园,49.6004015,117.4152306,Manzhouli Xishan Botanical Garden,,,,,,,,,,,,,yes,,,garden,botanical
833725130,node,Kongsvoll botaniske fjellhage,62.3020855,9.6045834,Kongsvoll Mountain Botanic Garden,,https://www.kongsvollfjellhage.no/,,,,,,,,,,,,,botanic garden,garden,botanical
1129741476,node,Masía del Batán,39.8560557,-0.5078298,,,,,,,,,,,,,,,,,garden,botanical
1203860968,node,百花园,21.9307973,101.2482199,Flower Garden,,,,,,,,,,,,,,,,garden,botanical
1354473365,node,Gotelli Dwarf and Slow Growing Conifer Collection,38.9157144,-76.9577753,,,,,,,,,,,,,,,,,garden,botanical
1354484644,node,Dogwood Collection,38.9149047,-76.9560748,,,https://www.usna.usda.gov/discover/gardens-collections/dogwood-collection,,,,,,,,,,,,,,garden,botanical
1354484645,node,Asian Collections,38.9127384,-76.9550341,,,https://www.usna.usda.gov/discover/gardens-collections/asian-collections/,,,,,,,,,,,,,,garden,botanical
1354484646,node,Holly and Magnolia Collections,38.9107849,-76.9599586,,,,,,,,,,,,,,,,,garden,botanical
1354486364,node,Washington Youth Garden,38.9077627,-76.9655966,,,http://www.washingtonyouthgarden.org/,,,,,,,,,,,,,,garden,botanical
1354486365,node,Fern Valley,38.9091194,-76.9656771,,,,,,,,,,,,,,,,,garden,botanical
1354487483,node,Azalea Collections,38.909996,-76.9732892,,,,,,,,,,,,,,,,,garden,botanical
1400437884,node,Alpengarten Dobratsch,46.59216,13.7394581,,Alpengarten Villacher Alpe,,,,Jun-Aug 09:00-18:00,,,,,,,yes,,,,garden,botanical
1420786102,node,熱帯環境植物館,35.7919124,139.6640771,Itabashi Botanical Garden,,,,,,,,,,ja:板橋区立熱帯環境植物館,Q9011001,yes,yes,板橋区,,garden,botanical
1422944664,node,草津市立水生植物公園みずの森,35.073696,135.940407,,,,,,,,,,,ja:草津市立水生植物公園みずの森,Q5954731,,,,,garden,botanical
1423054153,node,兵庫県立フラワーセンター,34.907844,134.858674,Hyogo prefectural flower center,,,,,,,,,,ja:兵庫県立フラワーセンター,Q8343597,,,,,garden,botanical
1423636484,node,広島市植物公園,34.390897,132.347412,,,,,,,,,,,,,,,,,garden,botanical
1458212914,node,Desert Garden,32.7321051,-117.145646,,,,,,,,,,,,,no,,,,garden,botanical
1706109740,node,Jardin de Cantamerle,16.0198611,-61.6003418,,"Jardin de Cantamerle, jardin des senteurs et des épices",,,,,,,,,,,,,,,garden,botanical
1779489180,node,Botanical garden at Samarès Manor,49.1737552,-2.0788407,,,,,,,,,,,,,,,,,garden,botanical
1805677685,node,Botanic Garden,29.3842005,79.4359767,,,,,,,,,,,,,,,,,garden,botanical
1813887682,node,Jardin méditerranéen,45.7883155,3.0717361,,,,,,,,,,,,,,,Municipalité de Clermont-Ferrand,,garden,botanical
2001880595,node,Botanischer Garten,51.4290366,6.9852721,,,,,,,,,,,,Q28009161,,,,,garden,botanical
2071060278,node,Lyon Arboretum and Botanical Garden,21.3333815,-157.8033873,,,http://www.hawaii.edu/lyonarboretum/,,,,,,,,en:Lyon Arboretum,Q2485977,,,,,garden,botanical
2091639228,node,Jardin botanique de Faaroa,-16.8294157,-151.422885,,,,,,,,,,,,,,,,Jardin botanique de Faaroa,garden,botanical
2247175638,node,Rose & Jasmine garden,33.7016418,73.0883966,,,,,,,,,,,en:Rose and Jasmine Garden,Q55631980,,,,,garden,botanical
2297192982,node,Sziklakert,47.7062325,19.2321998,,,,,,,,,,,,,,,,,garden,botanical
2300522162,node,Arboretum - Leśny Ogród Drzew i Krzewów Egzotycznych,50.3364554,16.8955481,,,,,,,,,,,,,,,,,garden,botanical
2802533689,node,Millinger Theetuin,51.8726441,5.9939856,,,,,,,Millingen aan de Rijn,,Klaverland,6566JD,,,yes,yes,,,garden,botanical
2860111066,node,Theetuin Weesp,52.3086166,5.0451866,,,https://theetuin.nl,,,,Weesp,,Ossenmarkt,1381LX,,,,,,,garden,botanical
2871224413,node,Meerkerk Gardens,48.0811011,-122.5617705,,,https://www.meerkerkgardens.org/,,,Mo-Su 09:00-16:00,Greenbank,,Meerkerk Lane,98253,en:Meerkerk Rhododendron Gardens,Q6807694,yes,yes,,,garden,botanical
2905411636,node,峨眉山植物园,29.5945706,103.3774176,,,,,,,,,,,,,,,,,garden,botanical
3010217939,node,Giardino Alpino di Pietra Corva,44.8257518,9.3553443,,,,,,,,,,,it:Giardino botanico alpino di Pietra Corva,Q3763886,,,,,garden,botanical
3224477214,node,Paradishaven,54.9208421,11.1947893,,,,,,,,,,,,,,,,,garden,botanical
3612927610,node,Parc Exotica,-21.3008429,55.4331775,,,,,,,,,,,,Q3363812,,,,,garden,botanical
3613245177,node,Giardino Botanico,40.8945277,12.9687692,,,http://www.giardinoponza.it,+39 0771 809935,,,Ponza,,Via Madonna,04027,,,,,,,garden,botanical
3762524943,node,Botanička bašta Velemun,42.6156539,19.9258309,,,,,,,,,,,,,,,,,,botanical
3762544557,node,Knjaževac,42.7368539,19.7879953,,,,,,,,,,,,,,,,,,botanical
3777940133,node,Vailima Botanic Garden Reserve,-13.8653236,-171.7648358,,,,,,,,,,,,,,,National Parks and Reserves Section Forestry Division Department of Agriculture and Forests,,garden,botanical
3896866413,node,Jardín Botánico Cupaynicu,20.2808367,-76.572339,,,,,,,,,,,,,,,,,garden,botanical
3962003335,node,Βοτανικός Κήπος Διομήδους,38.0105985,23.6427364,Diomedes Botanical Garden,,https://diomedes-bg.gr/,+302105811557,,,,,,,el:Βοτανικός Κήπος Ιουλίας και Αλεξάνδρου Ν. Διομήδους,Q12874706,no,permit,,,garden,botanical
3996131584,node,Les Jardins de Saint-Eloi,16.0265375,-61.6156553,,,,,,,,,,,,,,,,,garden,botanical
4041848670,node,Jegypénztár,47.4217802,18.5882414,Tickets,,https://www.alcsuti-arboretum.hu/,+36 22 353 219,info@alcsuti-arboretum.hu,,,,,,hu:Alcsúti Arborétum Természetvédelmi Terület,Q593219,yes,,,,garden,botanical
4070598692,node,Domaine d'Emeraude,14.7494961,-61.1014892,,,https://pnr-martinique.com/visiter/domaine-demeraude/,+596 596 52 33 49,,,,,,,,Q123812530,,,,,garden,botanical
4147262946,node,Jardines Ecológicos Topotepuy,10.4176185,-66.8523313,,Parque Ecológico Topotepuy;,https://topotepuy.com/,+58-212-9631242,info@topotepuy.com,Su 11:00-17:00,,,Via Oripoto,,,,yes,customers,,,garden,botanical
4194714770,node,Jardín Botánico Ambiental UNAN-León,12.4348494,-86.9134234,,,,,,,,,,,,,,,,,garden,botanical
4254303721,node,"Jardín Botánico Xerófito ""Dr. León Croizat""",11.4441364,-69.6022441,,,,,,,,,,,,,,,,,garden,botanical
4353511790,node,Jardín Botánico de Castilla-La Mancha,38.9753576,-1.8600048,,,https://www.jardinbotanico-clm.com/,,,Mo-Su 08:30-14:00,,,,,,,,yes,,,garden,botanical
4412870143,node,生田緑地ばら苑,35.6080493,139.5689611,,,,,,,,,,,,,,,,,garden,botanical
4426738594,node,Ekopark Holá Hora,48.9900142,21.2255056,,,https://ekoparkpo.sk/,+421905804871,,Mo 14:00-19:00; Tu-Fr 09:00-19:00; Sa-Su 10:00-19:00,Prešov,,Botanická,08001,,,no,yes,Technické služby mesta Prešov,,garden,botanical
4432198243,node,民族植物區,25.0314041,121.5085191,,,,,,,,,,,,,,,,,garden,botanical
4435305741,node,棕櫚區,25.0310579,121.5090797,,,,,,,,,,,,,,,,,garden,botanical
4435305742,node,竹區,25.0316403,121.5081356,,,,,,,,,,,,,,,,,garden,botanical
4435305743,node,水生植物區,25.0317935,121.5083419,,,,,,,,,,,,,,,,,garden,botanical
4435305744,node,十二生肖植物區,25.0323984,121.5089035,,,,,,,,,,,,,,,,,garden,botanical
4436859189,node,Giardino botanico Valderia,44.2035618,7.2681835,,,,,,,,,,,,,,,,,garden,botanical
4510936689,node,Mata-Jardim José do Canto,37.7502648,-25.3323688,,,https://www.matajosedocanto.com/,,,,,,,,,Q71823292,yes,,,,garden,botanical
4530576300,node,Washington Park Botanical Garden,39.7892603,-89.6849044,,,https://www.springfieldparks.org/facilities/botanicalGardens/,+1-217-546-4116,,,Springfield,,West Fayette Avenue,62704,,,,,,,garden,botanical
4572285231,node,Jardín Japonés,22.9843475,-82.3289533,,,,,,,,,,,,,,,,,garden,botanical
4587513512,node,Rostania,44.8806847,7.2192582,,,,,,,,,,,,,,,,,garden,botanical
4641100993,node,Timfanel Garden Ornamental Plant Farm,8.1513313,123.8249277,,,,,,,,,,,,,,,,,garden,botanical
4641685141,node,귀거래향 식물원,36.8484649,126.5007486,,,,,,,,,솔예로,,,,,,,,garden,botanical
4711678970,node,Jardin volcanique de Saint-Philippe,-21.3362638,55.8069393,,,,,,,,,,,,,,,,,garden,botanical
4744960128,node,Écomusée Créole Art,16.3125795,-61.7054994,,,,+590 590 286 798,,,,,,,,,yes,,,,garden,botanical
4772752781,node,Jardin d'Eau de Blonzac,16.1502098,-61.5939062,,,,,,,,,,,,,yes,yes,,,garden,botanical
4784545860,node,Magnolia & Lilac,43.0416762,-89.4320918,,,,,,,,,,,,,,,,,garden,botanical
4784545861,node,Crabapple,43.0428587,-89.4314678,,,,,,,,,,,,,,,,,garden,botanical
4784545862,node,Birch,43.0425569,-89.4308938,,,,,,,,,,,,,,,,,garden,botanical
4784545863,node,Spruce,43.0443094,-89.4278122,,,,,,,,,,,,,,,,,garden,botanical
4784545864,node,Pine,43.044405,-89.4288069,,,,,,,,,,,,,,,,,garden,botanical
4784545865,node,Juniper,43.0447309,-89.4281181,,,,,,,,,,,,,,,,,garden,botanical
4784545866,node,Pine,43.044951,-89.4273779,,,,,,,,,,,,,,,,,garden,botanical
4784545867,node,Maple,43.0453818,-89.4268905,,,,,,,,,,,,,,,,,garden,botanical
4784545868,node,Oak,43.0438607,-89.4301199,,,,,,,,,,,,,,,,,garden,botanical
4784545869,node,Ash,43.0436725,-89.4296157,,,,,,,,,,,,,,,,,garden,botanical
4784545870,node,Street Trees,43.0433588,-89.4276845,,,,,,,,,,,,,,,,,garden,botanical
4784545871,node,Elm & Beech,43.0427716,-89.4296586,,,,,,,,,,,,,,,,,garden,botanical
4784545872,node,Ginko,43.0436725,-89.4290631,,,,,,,,,,,,,,,,,garden,botanical
4784545873,node,Maple,43.0430178,-89.4301146,,,,,,,,,,,,,,,,,garden,botanical
4784545874,node,Hawthorn,43.0431667,-89.4304901,,,,,,,,,,,,,,,,,garden,botanical
4784545875,node,Fir,43.0448435,-89.4268762,,,,,,,,,,,,,,,,,garden,botanical
4784545876,node,Yew,43.0448609,-89.4265822,,,,,,,,,,,,,,,,,garden,botanical
4784545877,node,Chesnut,43.0439992,-89.4279061,,,,,,,,,,,,,,,,,garden,botanical
4784545878,node,Larch,43.0437432,-89.4280976,,,,,,,,,,,,,,,,,garden,botanical
4784545879,node,Cherry & Plum,43.043936,-89.4269418,,,,,,,,,,,,,,,,,garden,botanical
4784545880,node,Linden,43.0433251,-89.4267386,,,,,,,,,,,,,,,,,garden,botanical
4784545881,node,Catalpa,43.0436289,-89.4267386,,,,,,,,,,,,,,,,,garden,botanical
4784545882,node,Birch,43.0427807,-89.4264724,,,,,,,,,,,,,,,,,garden,botanical
4784545883,node,Willow,43.0427893,-89.4278945,,,,,,,,,,,,,,,,,garden,botanical
4784545884,node,Hackberry,43.0427807,-89.4284455,,,,,,,,,,,,,,,,,garden,botanical
4784545885,node,Corktree,43.0430111,-89.42771,,,,,,,,,,,,,,,,,garden,botanical
4784545886,node,Alder,43.0430111,-89.4271146,,,,,,,,,,,,,,,,,garden,botanical
4784545887,node,Bald Cypress,43.0427671,-89.4272173,,,,,,,,,,,,,,,,,garden,botanical
4784545888,node,Horse Chestnut & Buckeye,43.0431084,-89.4290293,,,,,,,,,,,,,,,,,garden,botanical
4784545889,node,Honeylocust,43.0421322,-89.430762,,,,,,,,,,,,,,,,,garden,botanical
4832638946,node,Jardin pédagogique,15.8434619,-61.636779,,,,,,,,,,,,,,,,,garden,botanical
4991028015,node,Sunken Garden,43.0920219,-89.3349739,,,,,,,,,,,,,,,,,garden,botanical
4991028016,node,Herb Garden,43.0920252,-89.334226,,,,,,,,,,,,,,,,,garden,botanical
4991028017,node,Rock Garden,43.0914309,-89.3344434,,,,,,,,,,,,,,,,,garden,botanical
4991028018,node,Perennial Garden,43.0923391,-89.3338989,,,,,,,,,,,,,,,,,garden,botanical
4991028019,node,Event Garden,43.0923365,-89.3347986,,Great Lawn,,,,,,,,,,,,,,,garden,botanical
4991028020,node,Rose Garden,43.0931754,-89.335046,,,,,,,,,,,,,,,,,garden,botanical
5000215305,node,Phänologischer Garten,50.8557524,12.1738887,,,,,,,,,,,,,,,,,garden,botanical
5004689783,node,Duft- und Tastgarten,53.950281,13.812125,,,http://www.mirabellev.de/dut/index.html,,,24/7,,,,,,,yes,permissive,,,garden,botanical
5023064223,node,The Rose Garden at Mesa Community College,33.392804,-111.872119,,,,,,,,,,,,,no,yes,,,garden,botanical
5076462729,node,Butterfly Garden बटरफ्लाय गार्डन,19.2369412,72.9651144,,,,,,,,,,,,,no,yes,TMC,,garden,botanical
5136321085,node,Laarmantuin,53.1784545,6.6004404,,,,,,,,,,,,,,,,,garden,botanical
5250713020,node,Jardín Micológico La Trufa,37.4832051,-4.2345139,,,,+34 671 599 562,,,Priego de Córdoba,,,,,,,,,,garden,botanical
5291723011,node,Dr. Faustino Miranda,16.7583503,-93.1073073,,,,,,,,,,,,,yes,yes,SEMAHN,,garden,botanical
5476979752,node,华西亚高山植物园（废弃）,31.0124358,103.6170496,,,,,,,,,,,,,,,,,garden,botanical
5584510722,node,Explorers' Garden,56.6976159,-3.7356903,,,https://pitlochryfestivaltheatre.com/explorers-garden-2/,+44 1796484600,,"Tu-Sa 10:00-17:00 ""last entry 4pm""",Pitlochry,,Port-na-Craig Road,PH16 5DR,,,yes,,Pitlochry Festival Theatre,,garden,botanical
5641892379,node,Jardín Botánico Los Balsos,5.794051,-75.785235,,,,,,Mo-Su 06:00-18:00,,,,,,,,,,,garden,botanical
5752130515,node,Parc des Rhodogîtes du Goëlo,48.6623607,-2.9794763,,,,,,,,,,,,,,customers,,,garden,botanical
5790021353,node,Vương thực vật,17.5524617,106.3012671,Botanical Garden,,,+84523677278,cuuhobaoton.phongnhakebang@gmail.com,Mo-Su 07:30-17:00,,,Đuòng 20,,,,yes,,,,garden,botanical
5830993640,node,"Finca la Isla Permaculture Farm, Plant Nursery and Botanical Garden",9.6497657,-82.7640957,,,https://www.costaricaorganicsfarm.com/,,,,,,,,,,yes,,,Plant Nursery and Botanical Garden,garden,botanical
5850666752,node,Bamboo Forest,33.8937062,-84.4426839,,,,,,,,,,,,,,,,,park,botanical
