area,city,col_1,col_2,col_3,col_4,col_5,coordinates,country,founded,name,source,source_url,state,wikipedia_url
30 acres (12 ha),Hoover,,,,Free,City of Hoover,33°23′12.01″N 86°47′31.44″W ﻿ / ﻿ 33.3866694°N 86.7920667°W ﻿ / 33.3866694; -86.7920667,United States,2002,Aldridge Botanical Gardens [ 4 ],Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_Alabama,Alabama,https://en.wikipedia.org/wiki/Aldridge_Botanical_Gardens
30 acres (12 ha),Wetumpka,,,,Free,Alabama Historical Commission,32°51′00″N 86°25′00″W ﻿ / ﻿ 32.85000°N 86.41667°W ﻿ / 32.85000; -86.41667,United States,1984,William Bartram Arboretum [ 5 ],Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_Alabama,Alabama,https://en.wikipedia.org/wiki/William_Bartram_Arboretum
65 acres (26 ha),Theodore,,,,Fee charged,Bellingrath- Morse Foundation,30°25′49″N 88°8′26″W ﻿ / ﻿ 30.43028°N 88.14056°W ﻿ / 30.43028; -88.14056,United States,1932,Bellingrath Gardens and Home [ 6 ],Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_Alabama,Alabama,https://en.wikipedia.org/wiki/Bellingrath_Gardens_and_Home
67.5 acres (27.3 ha),Birmingham,,,,Free,City of Birmingham/ Friends of Birmingham Botanical Gardens,33°29′30″N 86°46′28″W ﻿ / ﻿ 33.49167°N 86.77444°W ﻿ / 33.49167; -86.77444,United States,1963,Birmingham Botanical Gardens [ 7 ],Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_Alabama,Alabama,https://en.wikipedia.org/wiki/Birmingham_Botanical_Gardens_(United_States)
14 acres (5.7 ha),Auburn,,,,Free,Auburn University,32°35′44″N 85°28′58″W ﻿ / ﻿ 32.59556°N 85.48278°W ﻿ / 32.59556; -85.48278,United States,1977,Donald E. Davis Arboretum [ 8 ],Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_Alabama,Alabama,https://en.wikipedia.org/wiki/Donald_E._Davis_Arboretum
50 acres (20 ha),Dothan,,,,Free,"Dothan Area Botanical Gardens, Inc.",31°17′45.95″N 85°22′15.61″W ﻿ / ﻿ 31.2960972°N 85.3710028°W ﻿ / 31.2960972; -85.3710028,United States,1990,Dothan Area Botanical Gardens [ 9 ],Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_Alabama,Alabama,
112 acres (45 ha),Huntsville,,,,Fee charged,Huntsville Botanical Garden Foundation,34°42′25.2″N 86°37′58.8″W ﻿ / ﻿ 34.707000°N 86.633000°W ﻿ / 34.707000; -86.633000,United States,1988,Huntsville Botanical Garden [ 10 ],Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_Alabama,Alabama,https://en.wikipedia.org/wiki/Huntsville_Botanical_Garden
20 acres (8.1 ha),Montgomery,,,,Fee charged,Jasmine Hill Foundation,32°29′45.6″N 86°11′9.6″W ﻿ / ﻿ 32.496000°N 86.186000°W ﻿ / 32.496000; -86.186000,United States,1928,Jasmine Hill Gardens [ 11 ],Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_Alabama,Alabama,https://en.wikipedia.org/wiki/Jasmine_Hill_Gardens
100 acres (40 ha),Mobile,,,,Fee charged,City of Mobile,30°41′58.52″N 88°9′41.26″W ﻿ / ﻿ 30.6995889°N 88.1614611°W ﻿ / 30.6995889; -88.1614611,United States,1974,Mobile Botanical Gardens [ 12 ],Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_Alabama,Alabama,https://en.wikipedia.org/wiki/Mobile_Botanical_Gardens
65 acres (26 ha),Gadsden,,,,Free,City of Gadsden,34°2′29.36″N 86°1′16.61″W ﻿ / ﻿ 34.0414889°N 86.0212806°W ﻿ / 34.0414889; -86.0212806,United States,,Noccalula Falls Botanical Gardens [ 13 ],Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_Alabama,Alabama,https://en.wikipedia.org/wiki/Noccalula_Falls_Park
75 acres (30 ha),Troy,,,,Free,Troy University,31°47′38.4″N 85°57′28.8″W ﻿ / ﻿ 31.794000°N 85.958000°W ﻿ / 31.794000; -85.958000,United States,1988,Troy University Arboretum [ 14 ],Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_Alabama,Alabama,https://en.wikipedia.org/wiki/Troy_University_Arboretum
60 acres (24 ha),Tuscaloosa,,,,Free,University of Alabama,33°11′36.56″N 87°28′50.2″W ﻿ / ﻿ 33.1934889°N 87.480611°W ﻿ / 33.1934889; -87.480611,United States,1958,University of Alabama Arboretum [ 15 ],Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_Alabama,Alabama,https://en.wikipedia.org/wiki/University_of_Alabama_Arboretum
,Anchorage,,N/A,,,,,United States,,Alaska Botanical Garden,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_Alaska,Alaska,https://en.wikipedia.org/wiki/Alaska_Botanical_Garden
,Fairbanks,,University of Alaska Fairbanks,,,,,United States,,Georgeson Botanical Garden,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_Alaska,Alaska,https://en.wikipedia.org/wiki/Georgeson_Botanical_Garden
,Juneau,,City and Borough of Juneau,,,,,United States,,Jensen-Olson Arboretum,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_Alaska,Alaska,
,Homer,,Pratt Museum and Park,,,,,United States,,Pratt Museum and Park Botanical Garden,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_Alaska,Alaska,https://en.wikipedia.org/wiki/Pratt_Museum
,Tempe,,Arizona State University,,,,33°25′33″N 111°55′49″W ﻿ / ﻿ 33.42583°N 111.93028°W ﻿ / 33.42583; -111.93028,United States,,Arboretum at Arizona State University,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_Arizona,Arizona,https://en.wikipedia.org/wiki/Arboretum_at_Arizona_State_University
,Flagstaff,,,,,,35°9′37″N 111°43′53″W ﻿ / ﻿ 35.16028°N 111.73139°W ﻿ / 35.16028; -111.73139,United States,,The Arboretum at Flagstaff,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_Arizona,Arizona,https://en.wikipedia.org/wiki/The_Arboretum_at_Flagstaff
,Tucson,,,,,,32°14′38″N 111°10′5″W ﻿ / ﻿ 32.24389°N 111.16806°W ﻿ / 32.24389; -111.16806,United States,,Arizona-Sonora Desert Museum,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_Arizona,Arizona,https://en.wikipedia.org/wiki/Arizona-Sonora_Desert_Museum
,Superior,,,,,,33°16′45″N 111°9′30″W ﻿ / ﻿ 33.27917°N 111.15833°W ﻿ / 33.27917; -111.15833,United States,,Boyce Thompson Arboretum,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_Arizona,Arizona,https://en.wikipedia.org/wiki/Boyce_Thompson_Arboretum
,Phoenix,,,,,,33°27′47″N 111°56′38″W ﻿ / ﻿ 33.46306°N 111.94389°W ﻿ / 33.46306; -111.94389,United States,,Desert Botanical Garden,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_Arizona,Arizona,https://en.wikipedia.org/wiki/Desert_Botanical_Garden
,Near Yucca,,[ 4 ],,,,34°52′20″N 114°8′58″W ﻿ / ﻿ 34.87222°N 114.14944°W ﻿ / 34.87222; -114.14944,United States,,Forever Ranch and Gardens,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_Arizona,Arizona,
,Window Rock,,Navajo Nation,,,,35°39′51″N 109°3′4″W ﻿ / ﻿ 35.66417°N 109.05111°W ﻿ / 35.66417; -109.05111,United States,,Navajo Nation Zoological and Botanical Park,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_Arizona,Arizona,https://en.wikipedia.org/wiki/Navajo_Nation_Zoological_and_Botanical_Park
,Tucson,,,,,,32°20′23″N 110°58′52″W ﻿ / ﻿ 32.33972°N 110.98111°W ﻿ / 32.33972; -110.98111,United States,,Tohono Chul Park,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_Arizona,Arizona,https://en.wikipedia.org/wiki/Tohono_Chul_Park
,Tucson,,,,,,32°13′18″N 110°55′34″W ﻿ / ﻿ 32.22167°N 110.92611°W ﻿ / 32.22167; -110.92611,United States,,Tucson Botanical Gardens,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_Arizona,Arizona,https://en.wikipedia.org/wiki/Tucson_Botanical_Gardens
,Tucson,,University of Arizona,,,,33°25′33″N 111°55′51″W ﻿ / ﻿ 33.42583°N 111.93083°W ﻿ / 33.42583; -111.93083,United States,,University of Arizona Campus Arboretum,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_Arizona,Arizona,https://en.wikipedia.org/wiki/University_of_Arizona#Campus
,Little Rock,,Pinnacle Mountain State Park,,,,,United States,,Arkansas Arboretum,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_Arkansas,Arkansas,https://en.wikipedia.org/wiki/Arkansas_Arboretum
,Eureka Springs,,,,,,,United States,,Blue Spring Heritage Center,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_Arkansas,Arkansas,https://en.wikipedia.org/wiki/Blue_Spring_Heritage_Center
,Fayetteville,,,,,,,United States,,Botanical Garden of the Ozarks,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_Arkansas,Arkansas,https://en.wikipedia.org/wiki/Botanical_Garden_of_the_Ozarks
,Hot Springs,,University of Arkansas Division of Agriculture,,,,,United States,,Garvan Woodland Gardens,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_Arkansas,Arkansas,https://en.wikipedia.org/wiki/Garvan_Woodland_Gardens
,El Dorado,,South Arkansas Community College,,,,,United States,,South Arkansas Arboretum,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_Arkansas,Arkansas,https://en.wikipedia.org/wiki/South_Arkansas_Arboretum
,Vista,,,,,,,United States,,Alta Vista Botanical Gardens,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_California,California,https://en.wikipedia.org/wiki/Alta_Vista_Botanical_Gardens
,Pasadena,,,,,,,United States,,Arlington Garden,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_California,California,https://en.wikipedia.org/wiki/Arlington_Garden
,San Diego,,,,,,,United States,,Balboa Park Gardens,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_California,California,https://en.wikipedia.org/wiki/Balboa_Park_Gardens
,Walnut Creek,,,,,,,United States,,Ruth Bancroft Garden,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_California,California,https://en.wikipedia.org/wiki/Ruth_Bancroft_Garden
,Kensington,,"University of California, Berkeley",,,,,United States,,Blake Garden,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_California,California,"https://en.wikipedia.org/wiki/Blake_Garden_(Kensington,_California)"
,Santa Rosa,,,,,,,United States,,Luther Burbank Home and Gardens,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_California,California,https://en.wikipedia.org/wiki/Luther_Burbank_Home_and_Gardens
,Claremont,,,,,,,United States,,California Botanic Garden,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_California,California,https://en.wikipedia.org/wiki/California_Botanic_Garden
,Northridge,,California State University,,,,,United States,,California State University Northridge Botanic Garden,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_California,California,https://en.wikipedia.org/wiki/California_State_University_Northridge_Botanic_Garden
,Clovis,,Clovis Botanical Garden [ 4 ],,,,,United States,,Clovis Botanical Garden,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_California,California,
,Los Angeles,,,,,,,United States,,Chavez Ravine Arboretum,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_California,California,https://en.wikipedia.org/wiki/Chavez_Ravine_Arboretum
,Chico,,California State University,,,,,United States,,Chico University Arboretum,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_California,California,https://en.wikipedia.org/wiki/Chico_University_Arboretum
,Thousand Oaks,,,,,,,United States,,Conejo Valley Botanic Garden,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_California,California,https://en.wikipedia.org/wiki/Conejo_Valley_Botanic_Garden
,San Francisco,,,,,,,United States,,Conservatory of Flowers,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_California,California,https://en.wikipedia.org/wiki/Conservatory_of_Flowers
,La Cañada Flintridge,,,,,,,United States,,Descanso Gardens,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_California,California,https://en.wikipedia.org/wiki/Descanso_Gardens
,Dunsmuir,,,,,,,United States,,Dunsmuir Botanical Gardens,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_California,California,https://en.wikipedia.org/wiki/Dunsmuir_Botanical_Gardens
,Placerville,,United States Forest Service,,,,,United States,,Eddy Arboretum,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_California,California,https://en.wikipedia.org/wiki/Eddy_Arboretum
,Mill Valley,,,,,,,United States,,Edgewood Botanic Garden,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_California,California,https://en.wikipedia.org/wiki/Edgewood_Botanic_Garden
,Woodside,,National Trust for Historic Preservation,,,,,United States,,Filoli,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_California,California,https://en.wikipedia.org/wiki/Filoli
,Fresno,,California State University,,,,,United States,,The Arboretum at Fresno State,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_California,California,https://en.wikipedia.org/wiki/The_Arboretum_at_Fresno_State
,Fullerton,,California State University,,,,,United States,,Fullerton Arboretum,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_California,California,https://en.wikipedia.org/wiki/Fullerton_Arboretum
,Walnut Creek,,,,,,,United States,,Gardens at Heather Farm,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_California,California,https://en.wikipedia.org/wiki/Gardens_at_Heather_Farm
,Saratoga,,,,,,,United States,,Hakone Gardens,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_California,California,https://en.wikipedia.org/wiki/Hakone_Gardens
,El Cerrito,,[ 5 ],,,,,United States,,Harland Hand Memorial Garden,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_California,California,https://en.wikipedia.org/wiki/Harland_Hand_Memorial_Garden
,Eureka,,,,,,,United States,,Humboldt Botanical Gardens,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_California,California,https://en.wikipedia.org/wiki/Humboldt_Botanical_Gardens
,San Marino,,,,,,,United States,,Huntington Botanical Gardens,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_California,California,https://en.wikipedia.org/wiki/Huntington_Library
,San Jose,,,,,,,United States,,Japanese Friendship Garden,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_California,California,https://en.wikipedia.org/wiki/Japanese_Friendship_Garden_(Kelley_Park)
,Van Nuys,,,,,,,United States,,The Japanese Garden,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_California,California,https://en.wikipedia.org/wiki/The_Japanese_Garden
,Carmichael,,,,,,,United States,,Jensen Botanical Gardens,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_California,California,https://en.wikipedia.org/wiki/Jensen_Botanical_Gardens
,Oakland,,Merritt College,,,,,United States,,Labadie Arboretum,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_California,California,https://en.wikipedia.org/wiki/Labadie_Arboretum
,San Luis Obispo,,California Polytechnic State University,,,,,United States,,Leaning Pine Arboretum,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_California,California,
,Palm Desert,,,,,,,United States,,Living Desert Zoo and Gardens,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_California,California,https://en.wikipedia.org/wiki/Living_Desert_Zoo_and_Gardens
,Arcadia,,Los Angeles Arboretum Foundation County of Los Angeles,,,,,United States,,Los Angeles County Arboretum and Botanic Garden,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_California,California,https://en.wikipedia.org/wiki/Los_Angeles_County_Arboretum_and_Botanic_Garden
,Montecito,,,,,,,United States,,Lotusland,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_California,California,https://en.wikipedia.org/wiki/Lotusland
,Manhattan Beach,,,,,,,United States,,Manhattan Beach Botanical Garden,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_California,California,https://en.wikipedia.org/wiki/Manhattan_Beach_Botanical_Garden
,Bolinas,,,,,,,United States,,Marin-Bolinas Botanical Gardens,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_California,California,https://en.wikipedia.org/wiki/Marin-Bolinas_Botanical_Gardens
,Concord,,,,,,,United States,,Markham Regional Arboretum,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_California,California,https://en.wikipedia.org/wiki/Markham_Regional_Arboretum
,Los Angeles,,University of California,,,,,United States,,Mildred E. Mathias Botanical Garden,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_California,California,https://en.wikipedia.org/wiki/Mildred_E._Mathias_Botanical_Garden
,Redding,,Turtle Bay Exploration Park,,,,,United States,,McConnell Arboretum and Gardens,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_California,California,https://en.wikipedia.org/wiki/McConnell_Arboretum_and_Gardens
,Oakland,,Mills College,,,,,United States,,William Joseph McInnes Botanic Garden and Campus Arboretum,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_California,California,
,Fort Bragg,,,,,,,United States,,Mendocino Coast Botanical Gardens,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_California,California,https://en.wikipedia.org/wiki/Mendocino_Coast_Botanical_Gardens
,Long Beach,,California State University,,,,,United States,,Earl Burns Miller Japanese Garden,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_California,California,https://en.wikipedia.org/wiki/Earl_Burns_Miller_Japanese_Garden
,Saratoga,,,,,,,United States,,Montalvo Arts Center,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_California,California,https://en.wikipedia.org/wiki/Montalvo_Arts_Center
,Palm Springs,,,,,,,United States,,Moorten Botanical Garden and Cactarium,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_California,California,https://en.wikipedia.org/wiki/Moorten_Botanical_Garden_and_Cactarium
,San Marcos,,Palomar College,,,,,United States,,Palomar College Arboretum,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_California,California,
,Valley Center,,[ 6 ],,,,,United States,,Pikake Botanical Gardens,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_California,California,
,Malibu,,,,,,,United States,,Ramirez Canyon Park,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_California,California,https://en.wikipedia.org/wiki/Ramirez_Canyon_Park
,Berkeley,,Tilden Regional Park,,,,,United States,,Regional Parks Botanic Garden,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_California,California,https://en.wikipedia.org/wiki/Regional_Parks_Botanic_Garden
,Beverly Hills,,,,,,,United States,,Virginia Robinson Gardens,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_California,California,https://en.wikipedia.org/wiki/Virginia_Robinson_Gardens
,Claremont,,Pitzer College,,,,,United States,,John R. Rodman Arboretum and California Botanic Garden,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_California,California,https://en.wikipedia.org/wiki/John_R._Rodman_Arboretum
,Citrus Heights,,,,,,,United States,,Rusch Botanical Gardens,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_California,California,https://en.wikipedia.org/wiki/Rusch_Botanical_Gardens
,Encinitas,,,,,,,United States,,San Diego Botanic Garden,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_California,California,https://en.wikipedia.org/wiki/San_Diego_Botanic_Garden
,San Francisco,,,,,,,United States,,San Francisco Botanical Garden ( Strybing Arboretum ),Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_California,California,https://en.wikipedia.org/wiki/San_Francisco_Botanical_Garden
,San Jose,,,,,,,United States,,San Jose Municipal Rose Garden,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_California,California,https://en.wikipedia.org/wiki/San_Jose_Municipal_Rose_Garden
,San Luis Obispo,,,,,,,United States,,San Luis Obispo Botanical Garden,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_California,California,https://en.wikipedia.org/wiki/San_Luis_Obispo_Botanical_Garden
,San Mateo,,,,,,,United States,,San Mateo Arboretum,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_California,California,https://en.wikipedia.org/wiki/San_Mateo_Arboretum
,Santa Barbara,,,,,,,United States,,Santa Barbara Botanic Garden,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_California,California,https://en.wikipedia.org/wiki/Santa_Barbara_Botanic_Garden
,Corona Del Mar,,,,,,,United States,,Sherman Library and Gardens,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_California,California,https://en.wikipedia.org/wiki/Sherman_Library_and_Gardens
,Glen Ellen,,,,,,,United States,,Sonoma Botanical Garden,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_California,California,https://en.wikipedia.org/wiki/Sonoma_Botanical_Garden
,Palos Verdes,,,,,,,United States,,South Coast Botanic Garden,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_California,California,https://en.wikipedia.org/wiki/South_Coast_Botanic_Garden
,Palo Alto,,Stanford University,,,,,United States,,Stanford University Arboretum (includes Arizona Cactus Garden ),Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_California,California,https://en.wikipedia.org/wiki/Stanford_University_Arboretum
,San Francisco,,City of San Francisco,,,,,United States,,Sunnyside Conservatory,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_California,California,https://en.wikipedia.org/wiki/Sunnyside_Conservatory
,Sacramento,,California State University,,,,,United States,,University Arboretum,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_California,California,"https://en.wikipedia.org/wiki/University_Arboretum_at_California_State_University,_Sacramento"
,Berkeley,,"University of California, Berkeley",,,,,United States,,University of California Botanical Garden,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_California,California,https://en.wikipedia.org/wiki/University_of_California_Botanical_Garden
,Davis,,University of California,,,,,United States,,"University of California, Davis Arboretum",Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_California,California,"https://en.wikipedia.org/wiki/University_of_California,_Davis_Arboretum"
,Irvine,,University of California,,,,,United States,,UC Irvine Arboretum,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_California,California,https://en.wikipedia.org/wiki/UC_Irvine_Arboretum
,Riverside,,University of California,,,,,United States,,"University of California, Riverside Botanic Gardens",Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_California,California,"https://en.wikipedia.org/wiki/University_of_California,_Riverside_Botanic_Gardens"
,Santa Cruz,,University of California,,,,,United States,,"Arboretum at the University of California, Santa Cruz",Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_California,California,"https://en.wikipedia.org/wiki/Arboretum_at_the_University_of_California,_Santa_Cruz"
,Ventura,,,,,,,United States,,Ventura Botanical Gardens,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_California,California,https://en.wikipedia.org/wiki/Ventura_Botanical_Gardens
,Santa Catalina Island,,,,,,,United States,,Wrigley Botanical Gardens,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_California,California,https://en.wikipedia.org/wiki/Wrigley_Botanical_Gardens
,Kerman,,,,,,,United States,,M. Young Botanic Garden,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_California,California,https://en.wikipedia.org/wiki/M._Young_Botanic_Garden
,Denver,,University of Denver,,,,,United States,,Chester M. Alter Arboretum,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_Colorado,Colorado,https://en.wikipedia.org/wiki/Chester_M._Alter_Arboretum
,Boulder,,,,,,,United States,,Andrews Arboretum,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_Colorado,Colorado,https://en.wikipedia.org/wiki/Andrews_Arboretum
,Denver,,,,,,,United States,,Denver Botanic Gardens,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_Colorado,Colorado,https://en.wikipedia.org/wiki/Denver_Botanic_Gardens
,Vail,,,,,,,United States,,Betty Ford Alpine Gardens,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_Colorado,Colorado,https://en.wikipedia.org/wiki/Betty_Ford_Alpine_Gardens
,Fort Collins,,City of Fort Collins,,,,,United States,,Gardens on Spring Creek,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_Colorado,Colorado,https://en.wikipedia.org/wiki/The_Gardens_on_Spring_Creek
,Littleton,,,,,,,United States,,Hudson Gardens,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_Colorado,Colorado,https://en.wikipedia.org/wiki/Hudson_Gardens
,Montrose,,,,,,,United States,,Montrose Botanic Gardens,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_Colorado,Colorado,https://en.wikipedia.org/wiki/Montrose_Botanic_Gardens
